id_municipio,pib,pib_variavel,pib_unidade
1100015,734467.0,Produto Interno Bruto a preços correntes,Mil Reais
1100023,3211294.0,Produto Interno Bruto a preços correntes,Mil Reais
1100031,238414.0,Produto Interno Bruto a preços correntes,Mil Reais
1100049,2792506.0,Produto Interno Bruto a preços correntes,Mil Reais
1100056,743062.0,Produto Interno Bruto a preços correntes,Mil Reais
1100064,424846.0,Produto Interno Bruto a preços correntes,Mil Reais
1100072,396740.0,Produto Interno Bruto a preços correntes,Mil Reais
1100080,316672.0,Produto Interno Bruto a preços correntes,Mil Reais
1100098,773372.0,Produto Interno Bruto a preços correntes,Mil Reais
1100106,1054255.0,Produto Interno Bruto a preços correntes,Mil Reais
1100114,1764718.0,Produto Interno Bruto a preços correntes,Mil Reais
1100122,4230355.0,Produto Interno Bruto a preços correntes,Mil Reais
1100130,890319.0,Produto Interno Bruto a preços correntes,Mil Reais
1100148,549853.0,Produto Interno Bruto a preços correntes,Mil Reais
1100155,986046.0,Produto Interno Bruto a preços correntes,Mil Reais
1100189,1642621.0,Produto Interno Bruto a preços correntes,Mil Reais
1100205,20056138.0,Produto Interno Bruto a preços correntes,Mil Reais
1100254,560210.0,Produto Interno Bruto a preços correntes,Mil Reais
1100262,184428.0,Produto Interno Bruto a preços correntes,Mil Reais
1100288,1565241.0,Produto Interno Bruto a preços correntes,Mil Reais
1100296,213590.0,Produto Interno Bruto a preços correntes,Mil Reais
1100304,4215442.0,Produto Interno Bruto a preços correntes,Mil Reais
1100320,905341.0,Produto Interno Bruto a preços correntes,Mil Reais
1100338,742686.0,Produto Interno Bruto a preços correntes,Mil Reais
1100346,352630.0,Produto Interno Bruto a preços correntes,Mil Reais
1100379,483672.0,Produto Interno Bruto a preços correntes,Mil Reais
1100403,510740.0,Produto Interno Bruto a preços correntes,Mil Reais
1100452,966556.0,Produto Interno Bruto a preços correntes,Mil Reais
1100502,231501.0,Produto Interno Bruto a preços correntes,Mil Reais
1100601,275338.0,Produto Interno Bruto a preços correntes,Mil Reais
1100700,369127.0,Produto Interno Bruto a preços correntes,Mil Reais
1100809,655569.0,Produto Interno Bruto a preços correntes,Mil Reais
1100908,99627.0,Produto Interno Bruto a preços correntes,Mil Reais
1100924,468793.0,Produto Interno Bruto a preços correntes,Mil Reais
1100940,487756.0,Produto Interno Bruto a preços correntes,Mil Reais
1101005,239331.0,Produto Interno Bruto a preços correntes,Mil Reais
1101104,209927.0,Produto Interno Bruto a preços correntes,Mil Reais
1101203,297876.0,Produto Interno Bruto a preços correntes,Mil Reais
1101302,262627.0,Produto Interno Bruto a preços correntes,Mil Reais
1101401,389781.0,Produto Interno Bruto a preços correntes,Mil Reais
1101435,157321.0,Produto Interno Bruto a preços correntes,Mil Reais
1101450,155430.0,Produto Interno Bruto a preços correntes,Mil Reais
1101468,246209.0,Produto Interno Bruto a preços correntes,Mil Reais
1101476,107030.0,Produto Interno Bruto a preços correntes,Mil Reais
1101484,130675.0,Produto Interno Bruto a preços correntes,Mil Reais
1101492,488141.0,Produto Interno Bruto a preços correntes,Mil Reais
1101500,332986.0,Produto Interno Bruto a preços correntes,Mil Reais
1101559,121304.0,Produto Interno Bruto a preços correntes,Mil Reais
1101609,257436.0,Produto Interno Bruto a preços correntes,Mil Reais
1101708,273505.0,Produto Interno Bruto a preços correntes,Mil Reais
1101757,220948.0,Produto Interno Bruto a preços correntes,Mil Reais
1101807,185648.0,Produto Interno Bruto a preços correntes,Mil Reais
1200013,398725.0,Produto Interno Bruto a preços correntes,Mil Reais
1200054,133916.0,Produto Interno Bruto a preços correntes,Mil Reais
1200104,685636.0,Produto Interno Bruto a preços correntes,Mil Reais
1200138,300830.0,Produto Interno Bruto a preços correntes,Mil Reais
1200179,512353.0,Produto Interno Bruto a preços correntes,Mil Reais
1200203,2058630.0,Produto Interno Bruto a preços correntes,Mil Reais
1200252,644542.0,Produto Interno Bruto a preços correntes,Mil Reais
1200302,567040.0,Produto Interno Bruto a preços correntes,Mil Reais
1200328,113975.0,Produto Interno Bruto a preços correntes,Mil Reais
1200336,269205.0,Produto Interno Bruto a preços correntes,Mil Reais
1200344,184904.0,Produto Interno Bruto a preços correntes,Mil Reais
1200351,256865.0,Produto Interno Bruto a preços correntes,Mil Reais
1200385,601471.0,Produto Interno Bruto a preços correntes,Mil Reais
1200393,160535.0,Produto Interno Bruto a preços correntes,Mil Reais
1200401,10955675.0,Produto Interno Bruto a preços correntes,Mil Reais
1200427,255649.0,Produto Interno Bruto a preços correntes,Mil Reais
1200435,108545.0,Produto Interno Bruto a preços correntes,Mil Reais
1200450,779672.0,Produto Interno Bruto a preços correntes,Mil Reais
1200500,748094.0,Produto Interno Bruto a preços correntes,Mil Reais
1200609,711884.0,Produto Interno Bruto a preços correntes,Mil Reais
1200708,454981.0,Produto Interno Bruto a preços correntes,Mil Reais
1200807,471315.0,Produto Interno Bruto a preços correntes,Mil Reais
1300029,217333.0,Produto Interno Bruto a preços correntes,Mil Reais
1300060,118872.0,Produto Interno Bruto a preços correntes,Mil Reais
1300086,138599.0,Produto Interno Bruto a preços correntes,Mil Reais
1300102,248435.0,Produto Interno Bruto a preços correntes,Mil Reais
1300144,297810.0,Produto Interno Bruto a preços correntes,Mil Reais
1300201,184947.0,Produto Interno Bruto a preços correntes,Mil Reais
1300300,506341.0,Produto Interno Bruto a preços correntes,Mil Reais
1300409,245622.0,Produto Interno Bruto a preços correntes,Mil Reais
1300508,344890.0,Produto Interno Bruto a preços correntes,Mil Reais
1300607,388781.0,Produto Interno Bruto a preços correntes,Mil Reais
1300631,211871.0,Produto Interno Bruto a preços correntes,Mil Reais
1300680,182412.0,Produto Interno Bruto a preços correntes,Mil Reais
1300706,512796.0,Produto Interno Bruto a preços correntes,Mil Reais
1300805,402131.0,Produto Interno Bruto a preços correntes,Mil Reais
1300839,177894.0,Produto Interno Bruto a preços correntes,Mil Reais
1300904,154316.0,Produto Interno Bruto a preços correntes,Mil Reais
1301001,370663.0,Produto Interno Bruto a preços correntes,Mil Reais
1301100,395194.0,Produto Interno Bruto a preços correntes,Mil Reais
1301159,413374.0,Produto Interno Bruto a preços correntes,Mil Reais
1301209,3380325.0,Produto Interno Bruto a preços correntes,Mil Reais
1301308,531995.0,Produto Interno Bruto a preços correntes,Mil Reais
1301407,568036.0,Produto Interno Bruto a preços correntes,Mil Reais
1301506,215527.0,Produto Interno Bruto a preços correntes,Mil Reais
1301605,222773.0,Produto Interno Bruto a preços correntes,Mil Reais
1301654,177320.0,Produto Interno Bruto a preços correntes,Mil Reais
1301704,860168.0,Produto Interno Bruto a preços correntes,Mil Reais
1301803,216519.0,Produto Interno Bruto a preços correntes,Mil Reais
1301852,1001862.0,Produto Interno Bruto a preços correntes,Mil Reais
1301902,2350463.0,Produto Interno Bruto a preços correntes,Mil Reais
1301951,135620.0,Produto Interno Bruto a preços correntes,Mil Reais
1302009,152509.0,Produto Interno Bruto a preços correntes,Mil Reais
1302108,85809.0,Produto Interno Bruto a preços correntes,Mil Reais
1302207,138074.0,Produto Interno Bruto a preços correntes,Mil Reais
1302306,266377.0,Produto Interno Bruto a preços correntes,Mil Reais
1302405,625198.0,Produto Interno Bruto a preços correntes,Mil Reais
1302504,1544675.0,Produto Interno Bruto a preços correntes,Mil Reais
