id_municipio,nome_municipio,sigla_uf,regiao,taxa_2023,meta_2024,esforco_exigido,participacao_2023,probabilidade_atingir,score_risco,resultado_real,faixa_risco,perfil
2910206,Dom Macedo Costa,BA,Nordeste,85.87,80.0,-5.87,80.43,0.0209,0.9791,0,critico,3
4304408,Canela,RS,Sul,78.68,78.87,0.19,76.37,0.0217,0.9783,0,critico,1
4309100,Gramado,RS,Sul,79.08,79.21,0.13,78.28,0.0246,0.9754,0,critico,1
4301909,Barra do Ribeiro,RS,Sul,68.6,70.43,1.83,71.19,0.0254,0.9746,0,critico,1
4318804,São Lourenço do Sul,RS,Sul,79.09,79.22,0.13,82.39,0.0264,0.9736,0,critico,3
4307500,Espumoso,RS,Sul,81.25,80.0,-1.25,76.19,0.0265,0.9735,0,critico,1
4305124,Cerrito,RS,Sul,75.07,75.82,0.75,72.09,0.027,0.973,0,critico,1
4304507,Canguçu,RS,Sul,79.7,79.74,0.04,85.66,0.0289,0.9711,0,critico,3
2915700,Itamari,BA,Nordeste,59.67,63.04,3.37,70.49,0.0301,0.9699,0,critico,1
4305108,Caxias do Sul,RS,Sul,69.15,70.89,1.74,82.35,0.0301,0.9699,0,critico,1
4305504,Ciríaco,RS,Sul,86.67,80.0,-6.67,75.0,0.032,0.968,1,critico,1
4313607,Paim Filho,RS,Sul,78.96,79.11,0.15,81.82,0.0325,0.9675,0,critico,1
2914109,Ipupiara,BA,Nordeste,66.75,68.9,2.15,86.41,0.0331,0.9669,0,critico,3
4318903,São Luiz Gonzaga,RS,Sul,80.28,80.0,-0.28,81.68,0.0331,0.9669,0,critico,3
4306957,Entre Rios do Sul,RS,Sul,79.48,79.55,0.07,76.19,0.0338,0.9662,0,critico,1
4305900,Coronel Bicaco,RS,Sul,79.2,79.32,0.12,80.0,0.0338,0.9662,0,critico,1
2918902,Lajedão,BA,Nordeste,58.38,61.97,3.59,72.0,0.034,0.966,0,critico,1
4319125,São Martinho da Serra,RS,Sul,76.47,77.0,0.53,73.91,0.0342,0.9658,0,critico,1
4319901,Sapiranga,RS,Sul,72.77,73.9,1.13,82.8,0.0342,0.9658,0,critico,1
4315800,Roca Sales,RS,Sul,75.61,76.28,0.67,74.53,0.0344,0.9656,0,critico,1
4316907,Santa Maria,RS,Sul,65.32,67.72,2.4,76.9,0.0349,0.9651,0,critico,1
2909000,Cordeiros,BA,Nordeste,69.32,71.03,1.71,91.8,0.0351,0.9649,0,critico,3
4305009,Catuípe,RS,Sul,83.62,80.0,-3.62,80.0,0.0353,0.9647,0,critico,3
4302105,Bento Gonçalves,RS,Sul,77.38,77.77,0.39,85.59,0.0366,0.9634,0,critico,3
4300877,Araricá,RS,Sul,75.69,76.34,0.65,73.86,0.0384,0.9616,0,critico,1
4308078,Fazenda Vilanova,RS,Sul,80.0,80.0,0.0,78.13,0.0386,0.9614,0,critico,1
4309209,Gravataí,RS,Sul,63.64,66.33,2.69,78.3,0.0387,0.9613,0,critico,1
2920304,Malhada de Pedras,BA,Nordeste,70.36,71.89,1.53,88.78,0.0392,0.9608,0,critico,3
4313953,Pantano Grande,RS,Sul,72.52,73.69,1.17,74.77,0.0399,0.9601,0,critico,1
4312807,Nova Araçá,RS,Sul,82.28,80.0,-2.28,80.95,0.0401,0.9599,0,critico,3
4307906,Farroupilha,RS,Sul,83.04,80.0,-3.04,85.78,0.0401,0.9599,0,critico,3
4319604,São Sepé,RS,Sul,82.29,80.0,-2.29,82.96,0.0404,0.9596,0,critico,3
4303905,Campo Bom,RS,Sul,77.34,77.73,0.39,89.91,0.0412,0.9588,0,critico,3
2933257,Vereda,BA,Nordeste,67.84,69.8,1.96,88.89,0.0413,0.9587,0,critico,3
4311403,Lajeado,RS,Sul,74.67,75.49,0.82,86.95,0.0422,0.9578,0,critico,3
4318408,São Jerônimo,RS,Sul,81.83,80.0,-1.83,89.23,0.0424,0.9576,0,critico,3
4313508,Osório,RS,Sul,67.79,69.76,1.97,76.52,0.0432,0.9568,0,critico,1
4322608,Venâncio Aires,RS,Sul,78.14,78.41,0.27,92.91,0.0436,0.9564,0,critico,3
4315404,Redentora,RS,Sul,81.44,80.0,-1.44,83.33,0.0441,0.9559,0,critico,3
2900504,Érico Cardoso,BA,Nordeste,68.05,69.97,1.92,92.16,0.0443,0.9557,0,critico,3
4317806,Santo Augusto,RS,Sul,77.71,78.05,0.34,90.53,0.0447,0.9553,0,critico,3
