sigla_uf,municipios,risco_medio,em_risco_alto,atingiu_real,pct_em_risco
RS,421,0.895,417,9.5,99.0
BA,394,0.81,379,19.0,96.2
AM,48,0.71,42,27.1,87.5
PA,136,0.643,111,33.8,81.6
RJ,90,0.605,73,40.0,81.1
AP,16,0.566,8,43.8,50.0
PR,395,0.532,257,46.8,65.1
SE,75,0.529,41,49.3,54.7
RN,139,0.523,72,48.2,51.8
MA,216,0.502,119,51.9,55.1
SP,621,0.498,344,51.7,55.4
PB,220,0.472,106,51.4,48.2
AL,102,0.455,35,54.9,34.3
RO,52,0.451,19,51.9,36.5
SC,238,0.441,84,55.5,35.3
PI,224,0.423,82,58.5,36.6
TO,137,0.405,54,56.2,39.4
PE,184,0.374,34,60.9,18.5
MT,139,0.328,13,64.0,9.4
MS,79,0.322,11,65.8,13.9
ES,78,0.268,0,75.6,0.0
GO,243,0.192,0,80.7,0.0
MG,801,0.191,1,79.5,0.1
CE,184,0.105,0,91.3,0.0
